country_code,2015,2016,2017,2018,2019,2020
ARG,8.27,8.29,8.33,8.39,8.39,8.39
ARM,24.11,24.11,24.11,24.11,24.11,24.11
AUS,18.14,18.85,19.1,19.2,19.2,19.2
AUT,27.97,28.45,28.45,28.54,28.54,28.54
AZE,5.63,5.63,5.63,5.93,5.93,5.93
BEL,24.93,24.93,24.97,24.97,24.97,24.97
BGR,40.43,40.43,40.43,40.43,40.43,40.43
BLR,9.73,9.73,9.73,9.73,9.73,9.73
BRA,29.15,29.48,29.48,29.8,29.8,29.8
CAN,10.59,10.62,10.65,10.99,11.02,11.02
CHE,10.03,10.04,10.26,10.27,10.27,10.27
CHL,14.88,14.88,14.88,15.61,17.67,17.67
CHN,0.95,0.96,1.42,1.72,1.72,1.72
COL,15.95,16.05,16.29,16.91,16.96,16.96
CRI,30.35,30.35,30.35,30.35,30.35,30.35
CYP,37.16,38.69,38.69,38.69,38.69,38.69
CZE,21.88,21.9,21.91,21.91,21.91,21.91
DEU,36.15,36.68,37.12,37.13,37.13,37.13
DNK,14.46,14.47,14.47,14.55,14.55,14.55
DOM,27.01,27.02,27.02,27.02,27.02,27.02
EA19,25.18,25.29,25.44,25.69,25.69,25.69
ECU,18.97,18.98,21.4,21.53,21.64,21.64
ESP,27.96,27.97,27.98,27.98,27.98,27.98
EST,18.13,18.14,18.25,18.37,18.37,18.37
EU28,25.5,25.59,25.71,25.89,25.89,25.89
FIN,13.13,13.14,13.27,13.27,13.27,13.27
FRA,24.7,24.71,24.92,26.11,26.11,26.11
G20,12.7,12.82,12.92,13.06,13.07,13.07
G7M,12.77,12.79,12.81,13.01,13.02,13.02
GBR,27.59,27.62,27.63,27.63,27.63,27.63
GEO,9.31,9.31,9.31,9.31,9.32,9.32
GRC,34.81,34.81,34.81,34.81,34.81,34.81
HRV,36.62,36.63,36.63,36.63,36.63,36.63
HUN,22.62,22.62,22.62,22.62,22.62,22.62
IDN,12.16,12.17,12.17,12.17,12.17,12.17
IND,5.64,5.64,5.64,5.64,5.64,5.64
IRL,13.35,13.35,13.35,13.35,13.35,13.35
ISL,20.61,20.69,20.69,20.69,20.69,20.69
ISR,23.33,23.37,23.62,23.94,24.24,24.24
ITA,21.13,21.14,21.17,21.17,21.17,21.17
JPN,20.05,20.05,20.05,20.05,20.05,20.05
KAZ,3.51,3.54,3.54,3.54,3.54,3.54
KGZ,6.87,7.06,7.06,7.06,7.06,7.06
KOR,15.2,15.22,15.23,15.23,15.23,15.23
LTU,16.78,16.82,16.82,16.82,16.82,16.82
LUX,45.67,51.37,51.37,51.37,51.37,51.37
LVA,17.95,17.95,17.95,17.95,17.95,17.95
MDA,4.35,4.35,4.35,4.35,4.35,4.35
MEX,13.58,13.79,13.9,13.93,13.94,13.94
MLT,20.91,20.91,20.96,20.96,20.96,20.96
NLD,18.24,18.68,20.66,21.36,21.36,21.36
NOR,17.4,17.48,17.66,17.94,17.94,17.94
NZL,32.81,32.82,32.86,32.93,32.93,32.93
OECD,15.07,15.26,15.35,15.53,15.58,15.58
OECDE,24.16,24.24,24.37,24.58,24.58,24.58
PER,20.69,20.73,20.77,21.68,21.68,21.68
POL,39.64,39.64,39.65,39.67,39.67,39.67
PRT,22.3,22.3,22.3,22.3,22.3,22.3
PRY,14.34,14.35,14.35,14.35,14.35,14.35
ROU,25.19,25.39,25.39,25.39,25.39,25.39
RUS,9.64,9.64,9.65,9.65,9.65,9.65
SAU,4.74,4.74,4.74,4.74,4.74,4.74
SVK,37.22,37.25,37.59,37.59,37.59,37.59
SVN,53.52,53.52,53.52,53.53,53.53,53.53
SWE,13.71,13.79,13.97,14.18,14.2,14.2
TJK,22.14,22.14,22.14,22.14,22.14,22.14
TKM,3.48,3.48,3.48,3.48,3.48,3.48
UKR,4.31,4.31,4.31,4.31,4.31,4.31
URY,3.48,3.48,3.48,3.48,3.62,3.62
USA,12.54,12.54,12.54,12.54,12.54,12.54
UZB,3.36,3.36,3.36,3.36,3.36,3.36
WLD,12.85,12.96,13.07,13.17,13.18,13.18
ZAF,7.77,8.05,8.09,8.34,8.39,8.39
